"Date","Service","CostUSD"
"2025-05-01","AWS Amplify","0.000012026"
"2025-05-01","EC2 - Other","0.0598711924"
"2025-05-01","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-01","Amazon Simple Storage Service","0.0000000039"
"2025-05-01","Amazon Virtual Private Cloud","0.24"
"2025-05-01","Tax","6.08"
"2025-05-02","AWS Amplify","0.0000000934"
"2025-05-02","EC2 - Other","0.0598711915"
"2025-05-02","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-02","Amazon Simple Storage Service","0.0000000039"
"2025-05-02","Amazon Virtual Private Cloud","0.24"
"2025-05-03","AWS Amplify","0.0000000932"
"2025-05-03","EC2 - Other","0.0598711511"
"2025-05-03","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-03","Amazon Simple Storage Service","0.0000000039"
"2025-05-03","Amazon Virtual Private Cloud","0.24"
"2025-05-04","AWS Amplify","0.0000001342"
"2025-05-04","EC2 - Other","0.0598711338"
"2025-05-04","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-04","Amazon Simple Storage Service","0.0000000039"
"2025-05-04","Amazon Virtual Private Cloud","0.24"
"2025-05-05","AWS Amplify","0.0000000303"
"2025-05-05","EC2 - Other","0.0598711514"
"2025-05-05","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-05","Amazon Simple Storage Service","0.0000000039"
"2025-05-05","Amazon Virtual Private Cloud","0.24"
"2025-05-06","EC2 - Other","0.059871117"
"2025-05-06","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-06","Amazon Simple Storage Service","0.0000000039"
"2025-05-06","Amazon Virtual Private Cloud","0.24"
"2025-05-07","AWS Amplify","0.0000003148"
"2025-05-07","EC2 - Other","0.0598710983"
"2025-05-07","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-07","Amazon Simple Storage Service","0.0000000039"
"2025-05-07","Amazon Virtual Private Cloud","0.24"
"2025-05-08","AWS Amplify","0.0000000467"
"2025-05-08","EC2 - Other","0.0598713884"
"2025-05-08","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-08","Amazon Simple Storage Service","0.0000000039"
"2025-05-08","Amazon Virtual Private Cloud","0.24"
"2025-05-09","AWS Amplify","0.0000000467"
"2025-05-09","EC2 - Other","0.0598711156"
"2025-05-09","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-09","Amazon Simple Storage Service","0.0000000039"
"2025-05-09","Amazon Virtual Private Cloud","0.24"
"2025-05-10","AWS Amplify","0.0000000467"
"2025-05-10","EC2 - Other","0.0598711347"
"2025-05-10","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-10","Amazon Simple Storage Service","0.0000000039"
"2025-05-10","Amazon Virtual Private Cloud","0.24"
"2025-05-11","EC2 - Other","0.0598711654"
"2025-05-11","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-11","Amazon Simple Storage Service","0.0000000039"
"2025-05-11","Amazon Virtual Private Cloud","0.24"
"2025-05-12","EC2 - Other","0.0598713848"
"2025-05-12","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-12","Amazon Simple Storage Service","0.0000000039"
"2025-05-12","Amazon Virtual Private Cloud","0.24"
"2025-05-13","AWS Amplify","0.0000018511"
"2025-05-13","AWS CloudShell","0.0000001401"
"2025-05-13","EC2 - Other","0.059871119"
"2025-05-13","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-13","Amazon Simple Storage Service","0.0000000039"
"2025-05-13","Amazon Virtual Private Cloud","0.24"
"2025-05-14","AWS Amplify","0.0000004004"
"2025-05-14","EC2 - Other","0.0598712894"
"2025-05-14","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-14","Amazon Simple Storage Service","0.0000000039"
"2025-05-14","Amazon Virtual Private Cloud","0.24"
"2025-05-15","AWS Amplify","0.0000003692"
"2025-05-15","EC2 - Other","0.0598711105"
"2025-05-15","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-15","Amazon Simple Storage Service","0.0000000039"
"2025-05-15","Amazon Virtual Private Cloud","0.24"
"2025-05-16","AWS Amplify","0.0000000467"
"2025-05-16","EC2 - Other","0.0598711619"
"2025-05-16","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-16","Amazon Simple Storage Service","0.0000000039"
"2025-05-16","Amazon Virtual Private Cloud","0.24"
"2025-05-17","AWS Amplify","0.0000002651"
"2025-05-17","EC2 - Other","0.0598711399"
"2025-05-17","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-17","Amazon Simple Storage Service","0.0000000039"
"2025-05-17","Amazon Virtual Private Cloud","0.24"
"2025-05-18","AWS Amplify","0.0000007927"
"2025-05-18","EC2 - Other","0.0598710899"
"2025-05-18","Amazon Elastic Compute Cloud - Compute","0.6336"
"2025-05-18","Amazon Simple Storage Service","0.0000000039"
"2025-05-18","Amazon Virtual Private Cloud","0.24"
"2025-05-19","AWS Amplify","0.0000004499"
