"Date","Service","UsageQuantity"
"2025-07-01","AWS Amplify","0.0005214597"
"2025-07-01","AWS Data Transfer","0"
"2025-07-01","AWS Identity and Access Management Access Analyzer","4"
"2025-07-01","AWS Key Management Service","192.032258064"
"2025-07-01","EC2 - Other","25.3904278984"
"2025-07-01","Amazon Elastic Compute Cloud - Compute","24.000068726"
"2025-07-01","Amazon Elastic Container Service for Kubernetes","24"
"2025-07-01","Amazon Elastic Load Balancing","24.0081811476"
"2025-07-01","Amazon Route 53","586"
"2025-07-01","Amazon Simple Storage Service","0.0040355168"
"2025-07-01","Amazon Virtual Private Cloud","72.380556"
"2025-07-01","AmazonCloudWatch","1.1803977807"
"2025-07-01","Tax","0"
"2025-07-02","AWS Amplify","0.0000013393"
"2025-07-02","AWS Data Transfer","0"
"2025-07-02","AWS Key Management Service","192.032258064"
"2025-07-02","EC2 - Other","25.4975406984"
"2025-07-02","Amazon Elastic Compute Cloud - Compute","24.0000544992"
"2025-07-02","Amazon Elastic Container Service for Kubernetes","24"
"2025-07-02","Amazon Elastic Load Balancing","24.0272350517"
"2025-07-02","Amazon Route 53","544"
"2025-07-02","Amazon Simple Storage Service","0.0040355168"
"2025-07-02","Amazon Virtual Private Cloud","72.043333"
"2025-07-02","AmazonCloudWatch","1.1803060453"
"2025-07-03","AWS Amplify","0.0000036536"
"2025-07-03","AWS Data Transfer","0"
"2025-07-03","AWS Key Management Service","192.032258064"
"2025-07-03","EC2 - Other","25.4971768411"
"2025-07-03","Amazon Elastic Compute Cloud - Compute","24.0000593132"
"2025-07-03","Amazon Elastic Container Service for Kubernetes","24"
"2025-07-03","Amazon Elastic Load Balancing","24.0157803712"
"2025-07-03","Amazon Route 53","285"
"2025-07-03","Amazon Simple Storage Service","0.0040355168"
"2025-07-03","Amazon Virtual Private Cloud","72"
"2025-07-03","AmazonCloudWatch","1.1806054153"
"2025-07-04","AWS Amplify","0.0000020983"
"2025-07-04","AWS Data Transfer","0"
"2025-07-04","AWS Key Management Service","192.032258064"
"2025-07-04","EC2 - Other","25.5679331635"
"2025-07-04","Amazon Elastic Compute Cloud - Compute","24.0000516682"
"2025-07-04","Amazon Elastic Container Service for Kubernetes","24"
"2025-07-04","Amazon Elastic Load Balancing","24.0239913392"
"2025-07-04","Amazon Route 53","1237"
"2025-07-04","Amazon Simple Storage Service","0.0040355168"
"2025-07-04","Amazon Virtual Private Cloud","72"
"2025-07-04","AmazonCloudWatch","1.1801987475"
"2025-07-05","AWS Amplify","0.00000331"
"2025-07-05","AWS Data Transfer","0"
"2025-07-05","AWS Key Management Service","192.032258064"
"2025-07-05","EC2 - Other","25.4826702012"
"2025-07-05","Amazon Elastic Compute Cloud - Compute","24.0000587476"
"2025-07-05","Amazon Elastic Container Service for Kubernetes","24"
"2025-07-05","Amazon Elastic Load Balancing","24.0039924037"
"2025-07-05","Amazon Route 53","340"
"2025-07-05","Amazon Simple Storage Service","0.0040355168"
"2025-07-05","Amazon Virtual Private Cloud","72"
"2025-07-05","AmazonCloudWatch","1.1803626491"
"2025-07-06","AWS Amplify","0.0000018236"
"2025-07-06","AWS Data Transfer","0"
"2025-07-06","AWS Key Management Service","192.032258064"
"2025-07-06","EC2 - Other","25.3978957811"
"2025-07-06","Amazon Elastic Compute Cloud - Compute","24.0000545002"
"2025-07-06","Amazon Elastic Container Service for Kubernetes","24"
"2025-07-06","Amazon Elastic Load Balancing","24.0083391132"
"2025-07-06","Amazon Route 53","469"
"2025-07-06","Amazon Simple Storage Service","0.0040355168"
"2025-07-06","Amazon Virtual Private Cloud","72"
"2025-07-06","AmazonCloudWatch","1.1803178628"
"2025-07-07","AWS Amplify","0.0000022259"
"2025-07-07","AWS CloudFormation","34"
"2025-07-07","AWS Data Transfer","0"
"2025-07-07","AWS Key Management Service","192.032258064"
"2025-07-07","EC2 - Other","34.3555511995"
"2025-07-07","Amazon Elastic Compute Cloud - Compute","24.000344998"
"2025-07-07","Amazon Elastic Container Service for Kubernetes","31.95562528"
"2025-07-07","Amazon Elastic Load Balancing","24.0183478877"
"2025-07-07","Amazon Route 53","726"
"2025-07-07","Amazon Simple Storage Service","0.0040355168"
"2025-07-07","Amazon Virtual Private Cloud","80.071111"
"2025-07-07","AmazonCloudWatch","1.1805369295"
"2025-07-08","AWS Amplify","0.0000059586"
"2025-07-08","AWS Data Transfer","0"
"2025-07-08","AWS Key Management Service","192.032258064"
"2025-07-08","EC2 - Other","49.5915813543"
"2025-07-08","Amazon Elastic Compute Cloud - Compute","24.0028867404"
"2025-07-08","Amazon Elastic Container Service for Kubernetes","59.08291667"
"2025-07-08","Amazon Elastic Load Balancing","24.0042957105"
"2025-07-08","Amazon Route 53","324"
"2025-07-08","Amazon Simple Storage Service","0.0040355168"
"2025-07-08","Amazon Virtual Private Cloud","96"
"2025-07-08","AmazonCloudWatch","2.1715458196"
"2025-07-09","AWS Amplify","0.000001778"
"2025-07-09","AWS Data Transfer","0"
"2025-07-09","AWS Key Management Service","192.032258064"
"2025-07-09","EC2 - Other","49.6721203761"
"2025-07-09","Amazon Elastic Compute Cloud - Compute","24.0092177556"
"2025-07-09","Amazon Elastic Container Service for Kubernetes","77.2087247072"
"2025-07-09","Amazon Elastic Load Balancing","24.0034042953"
"2025-07-09","Amazon Route 53","324"
"2025-07-09","Amazon Simple Storage Service","0.0040355168"
"2025-07-09","Amazon Virtual Private Cloud","96"
"2025-07-09","AmazonCloudWatch","1.9503256383"
"2025-07-10","AWS Amplify","0.0000018115"
"2025-07-10","AWS Data Transfer","0"
"2025-07-10","AWS Key Management Service","192.032258064"
"2025-07-10","EC2 - Other","49.9124773751"
"2025-07-10","Amazon Elastic Compute Cloud - Compute","24.0008785149"
"2025-07-10","Amazon Elastic Container Service for Kubernetes","116.7577016895"
"2025-07-10","Amazon Elastic Load Balancing","24.0145463689"
"2025-07-10","Amazon Route 53","418"
"2025-07-10","Amazon Simple Storage Service","0.0040355168"
"2025-07-10","Amazon Virtual Private Cloud","96"
"2025-07-10","AmazonCloudWatch","2.4955318445"
"2025-07-11","AWS Amplify","0.0014587827"
"2025-07-11","AWS CloudFormation","5"
"2025-07-11","AWS Data Transfer","0"
"2025-07-11","AWS Key Management Service","192.032258064"
"2025-07-11","EC2 - Other","50.3288555069"
"2025-07-11","Amazon Elastic Compute Cloud - Compute","31.5160128679"
"2025-07-11","Amazon Elastic Container Service for Kubernetes","147.0554337605"
"2025-07-11","Amazon Elastic Load Balancing","24.004963995"
"2025-07-11","Amazon Route 53","547"
"2025-07-11","Amazon Simple Storage Service","0.0040355168"
"2025-07-11","Amazon Virtual Private Cloud","103.514445"
"2025-07-11","AmazonCloudWatch","2.0360122435"
"2025-07-12","AWS Amplify","0.0000023796"
"2025-07-12","AWS Data Transfer","0"
"2025-07-12","AWS Key Management Service","222.032258064"
"2025-07-12","EC2 - Other","55.853027733"
"2025-07-12","Amazon Elastic Compute Cloud - Compute","48.3484533837"
"2025-07-12","Amazon Elastic Container Service for Kubernetes","156.1162295256"
"2025-07-12","Amazon Elastic Load Balancing","24.0161854116"
"2025-07-12","Amazon Route 53","358"
"2025-07-12","Amazon Simple Notification Service","2.0000000447"
"2025-07-12","Amazon Simple Storage Service","0.0040355168"
"2025-07-12","Amazon Virtual Private Cloud","120.411666"
"2025-07-12","AmazonCloudWatch","2.0521260854"
"2025-07-13","AWS Amplify","0.0000005132"
"2025-07-13","AWS Data Transfer","0"
"2025-07-13","AWS Key Management Service","192.032258064"
"2025-07-13","EC2 - Other","74.4990851909"
"2025-07-13","Amazon Elastic Compute Cloud - Compute","48.0017154159"
"2025-07-13","Amazon Elastic Container Service for Kubernetes","156.1160800729"
"2025-07-13","Amazon Elastic Load Balancing","24.0209443913"
"2025-07-13","Amazon Route 53","446"
"2025-07-13","Amazon Simple Storage Service","8.0040373627"
"2025-07-13","Amazon Virtual Private Cloud","120"
"2025-07-13","AmazonCloudWatch","2.0380434136"
"2025-07-13","Claude 3 Sonnet (Amazon Bedrock Edition)","0.003699"
"2025-07-13","Tax","0"
"2025-07-14","AWS Amplify","0.0000031107"
"2025-07-14","AWS Data Transfer","0"
"2025-07-14","AWS Key Management Service","192.032258064"
"2025-07-14","EC2 - Other","74.5890479148"
"2025-07-14","Amazon Elastic Compute Cloud - Compute","48.0056146105"
"2025-07-14","Amazon Elastic Container Service for Kubernetes","156.1166490503"
