Date,Service,UsageQuantity,,,,BINS,,
2025-07-01,AWS Amplify,0.0005214597,MIN,0,0,10,,115
2025-07-01,AWS Data Transfer,0,MAX,1237,0,60,,76
2025-07-01,AWS Identity and Access Management Access Analyzer,4,,,4,110,,28
2025-07-01,AWS Key Management Service,192.032258064,,,192,160,,31
2025-07-01,EC2 - Other,25.3904278984,,,25,210,,36
2025-07-01,Amazon Elastic Compute Cloud - Compute,24.000068726,,,24,260,,6
2025-07-01,Amazon Elastic Container Service for Kubernetes,24,,,24,310,,3
2025-07-01,Amazon Elastic Load Balancing,24.0081811476,,,24,360,,5
2025-07-01,Amazon Route 53,586,,,586,410,,0
2025-07-01,Amazon Simple Storage Service,0.0040355168,,,0,460,,3
2025-07-01,Amazon Virtual Private Cloud,72.380556,,,72,510,,1
2025-07-01,AmazonCloudWatch,1.1803977807,,,1,560,,2
2025-07-01,Tax,0,,,0,610,,1
2025-07-02,AWS Amplify,0.0000013393,,,0,660,,0
2025-07-02,AWS Data Transfer,0,,,0,710,,0
2025-07-02,AWS Key Management Service,192.032258064,,,192,760,,1
2025-07-02,EC2 - Other,25.4975406984,,,25,810,,0
2025-07-02,Amazon Elastic Compute Cloud - Compute,24.0000544992,,,24,860,,0
2025-07-02,Amazon Elastic Container Service for Kubernetes,24,,,24,910,,0
2025-07-02,Amazon Elastic Load Balancing,24.0272350517,,,24,960,,0
2025-07-02,Amazon Route 53,544,,,544,1010,,0
2025-07-02,Amazon Simple Storage Service,0.0040355168,,,0,1060,,0
2025-07-02,Amazon Virtual Private Cloud,72.043333,,,72,1110,,0
2025-07-02,AmazonCloudWatch,1.1803060453,,,1,1160,,0
2025-07-03,AWS Amplify,0.0000036536,,,0,1210,,0
2025-07-03,AWS Data Transfer,0,,,0,1260,,1
2025-07-03,AWS Key Management Service,192.032258064,,,192,1310,,0
2025-07-03,EC2 - Other,25.4971768411,,,25,,,
2025-07-03,Amazon Elastic Compute Cloud - Compute,24.0000593132,,,24,,,
2025-07-03,Amazon Elastic Container Service for Kubernetes,24,,,24,,,
2025-07-03,Amazon Elastic Load Balancing,24.0157803712,,,24,,,
2025-07-03,Amazon Route 53,285,,,285,,,
2025-07-03,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-03,Amazon Virtual Private Cloud,72,,,72,,,
2025-07-03,AmazonCloudWatch,1.1806054153,,,1,,,
2025-07-04,AWS Amplify,0.0000020983,,,0,,,
2025-07-04,AWS Data Transfer,0,,,0,,,
2025-07-04,AWS Key Management Service,192.032258064,,,192,,,
2025-07-04,EC2 - Other,25.5679331635,,,26,,,
2025-07-04,Amazon Elastic Compute Cloud - Compute,24.0000516682,,,24,,,
